135322595,3202870433,3224441900,582469520
3202870433,135322595,3202870432
3202870432,3202870433,3202870431
3202870431,3202870432,135322612,3202870454
135322612,3202870431,3220644193,3202870446,2779134006
3220644193,135322612,3202870430,3220644205
3202870430,3220644193,587752737,3202870451
587752737,3202870430,5450842790,3224413277,3224413286
5450842790,587752737,4456614601,5450842785
4456614601,5450842790,135322793,1827180005,1827175574
135322793,4456614601,4456614599,3748104879,4456614602
285901141,5269626360,4076346424,5269626356,4076344538
5269626356,285901141,5269626367,5269626359
5269626367,2231577226,5269626356,5269626370
2231577226,5269626367,5269626350,2867979314
5269626350,2231577226,961324213,5269626371
961324213,2889307938,5269626350,135318964,5269620546
135318964,961324213,1835548014,587752724,582469516
1835548014,2429824094,135318964,2408857678
2408857678,135319318,1835548014,2408857684
135319318,2408857678,279750046,2408856901
279750046,135319318,2432464140,1563791242,2429824093
206844743,282678721,582469512,1834520305,445822952,1779185158
1834520305,1832348904,206844743,285900987
1832348904,1834520305,1832348905,5269634295
5269634295,1787461641,5269634299,1832348904
1787461641,5269634295,285900940,2288017302
285900940,1787461641,1834519720,2129622684
1834519720,285900940,2676858530,1829783457,1829783442
2676858530,1834519720,2645335906,2676858556
2645335906,2676858530,2645335903,2645335909
2645335903,2645335906,2730754640,2645335904
2730754640,2645335903,582469509,2730754638
582469509,2730754640,2719437098,2719437096
582469520,587752748,5269583549,587752746,135322595
587752748,582469520,587752747,5269583565,587752749
587752747,587752748,587752745,587752750,968012068
206845527,206845548,277087361
206845548,206845527,932266936,1753724793
932266936,206845548,1334596142,1753724794,1334596144,932267007
1334596142,932266936,206845576,1334596144
206845576,932570487,1334596142,2571051861,1815729430
2571051861,206845576,2571051864
2571051864,2571051861,759896335
759896335,2571051864,279847009,932570486
279847009,759896335
206844993,946143484,265513236,206844981
946143484,206844993,206848627,946143580
206848627,1801414667,946143484,963489405
1801414667,206848627,5267577913,5267575558
5267575558,1801414667,5257605121,5267575556
5257605121,5267575558,595728110,5257605124
595728110,5257605121
206844895,4196005305,1787550242,1787550243
4196005305,4251332135,4251332150,206844895
4251332135,4196005305,4251332139,1801415042
1801415042,206844929,4251332135
262661357,206844968,5267562404,5267579405
5267562404,5267562405,262661357,1839389150
1839389150,1839389093,5267562404,5267563295
1839389093,1839389150,1839388999,1839389107
1839388999,1839389005,1839389093,1839388962
1839388962,1839389016,1839388999,1802575509
1802575509,1839388962,262661049,1802575721
262661049,1802575509,1802575721
265513236,206844993,265513239
262661217,285900464,484267446,1838298654
1838298654,1838298646,262661217
585337603,2992574958,968012062,2247009759,2992574966
2992574958,585337603,583976739,2992574960
583976739,2992574958,2752112498,2757235624,2752112503
2752112498,583976739,2752112500,2752112497
2752112500,2752112498,2752112501,2752112506
2752112501,2752112500,582469459,2752112497
582469459,2752112501,2719302002,2752112510,2699360554
279750537,2119520596,1786549391,3801443416
1786549391,3647569629,279750537,2988172597
2988172597,2989004420,1786549391,2990707582
2989004420,2988172597,2989004419,2749629591
2749629591,2989004420,582469468,2989004424
582469468,2749629593,2749566042,2772417611,2749629591
1832176732,5267424376,1832176730,5269496395,5269507433
5267424376,1832176732,1832176734,5267424378
1832176734,5267425615,5267424376,277087352
277087352,277087340,5269496401,1832176734
277087203,4456614657,2354929138,4456614658,2354835317,4456614659
4456614657,277087203,1196605264,1829034564,4456614658
1196605264,4456614657,1349842948,4456614656,441346554
1349842948,1196605264,1349842966,3665149152
3665149152,445822865,1828912847,1828912852,1349842948
445822865,3665149152,3665149150,2941529107,3665149151
441346545,445822903,445822907,2941528069
445822903,441346545,445822905,1349842823,587752714
