135314064,58.5583907,49.6853482
135314119,58.5616676,49.6851755
135314306,58.5631733,49.6851396
135314446,58.5660354,49.6850389
135318964,58.5856075,49.6824404
135319318,58.586949,49.6821667
135319513,58.5896287,49.681998
135322595,58.5940628,49.681684
135322612,58.5939907,49.6774764
135322793,58.593878,49.6687043
206844527,58.6151611,49.6713327
206844545,58.6149763,49.6668785
206844577,58.6071967,49.6676881
206844581,58.6062114,49.6677403
206844623,58.6043985,49.6691131
206844637,58.6032166,49.6687946
206844725,58.5893802,49.6693541
206844743,58.5853249,49.6698817
206844774,58.5809674,49.6577621
206844777,58.5809484,49.6577037
206844792,58.5799699,49.6542741
206844800,58.5795488,49.6528098
206844808,58.5796149,49.6513169
206844824,58.5793098,49.6502449
206844832,58.5789845,49.6497716
206844838,58.5785861,49.649457
206844895,58.5728257,49.6266997
206844929,58.5675839,49.6243076
206844935,58.5671638,49.6242864
206844955,58.563845,49.6219325
206844968,58.5613587,49.6217782
206844981,58.5591866,49.6205567
206844993,58.5590651,49.6192601
206845481,58.6102143,49.6803045
206845508,58.6153559,49.6798501
206845527,58.615547,49.6841639
206845548,58.6167073,49.6938521
206845576,58.6185545,49.7100094
206848624,58.5795943,49.6519837
206848627,58.5581798,49.6192006
262661049,58.5529255,49.6391987
262661174,58.5638619,49.650199
262661181,58.5670558,49.6512349
262661188,58.5691141,49.6510475
262661199,58.5741293,49.6544911
262661200,58.5741864,49.6545419
262661204,58.5757953,49.6548786
262661205,58.5759197,49.6550693
262661217,58.5784705,49.6620544
262661251,58.5744909,49.665515
262661298,58.5757087,49.6702193
262661313,58.5745976,49.6745866
262661326,58.5746046,49.682103
262661356,58.5745327,49.6847483
262661357,58.5610351,49.6217236
265513236,58.5610692,49.6140015
265513239,58.56218,49.6115854
265513271,58.571924,49.6096414
265513282,58.5775248,49.6096915
265513320,58.5887967,49.6136501
265513329,58.5966432,49.6135378
265513336,58.5990768,49.6135171
265513353,58.6074791,49.6133608
265513373,58.609633,49.6077783
265513378,58.6111028,49.60542
265513391,58.6153806,49.5984854
265513414,58.6265679,49.6058604
265513416,58.6268972,49.6060699
265513434,58.6340257,49.6106759
277086646,58.572825,49.5636725
277086647,58.571517,49.5596546
277087005,58.5826448,49.6582811
277087196,58.5933564,49.637972
277087199,58.6031893,49.6459432
277087200,58.6051758,49.64705
277087203,58.6146543,49.656609
277087322,58.6204035,49.656134
277087323,58.6223838,49.6519047
277087328,58.627196,49.6517539
277087334,58.6289632,49.6636663
277087340,58.6310014,49.6729011
277087352,58.6292491,49.669829
